z,gap
0.00547698306839528, 0.0026876702701272848
0.20692945101699212, 0.20135913819227436
0.41923386472097457, 0.38094750484596807
0.6186553713730809, 0.5340260643181826
0.8343377932613651, 0.6547494266076711
1.0316678820946676, 0.7489709166342342
1.23437293361496, 0.8224592201864327
1.4497492943590284, 0.8760327674350942
1.6504611699092777, 0.9122182631596845
1.8529659591994045, 0.941769033413564
2.064541116102973, 0.9613584580563983
2.270597726079055, 0.9701786868087646
2.480308177122496, 0.9806516457398933
2.6863610085659335, 0.9886428644300271
2.8887562204093666, 0.9941523428791662
3.1039058691947576, 0.9979852863938817
3.3081128874412915, 1.0010050896834723
3.5214053874318454, 0.9973795876109471
3.7256124056783797, 1.0003993909005375
3.929796752729045, 0.9984451338167335
4.1485851284512165, 1.0006147672612817
